"scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id"
"Chimarrhis hookeri",0.07,-72.45,1999-05-19,"GBIF","Instituto Amazónico de Investigaciones Científicas (SINCHI)","Instituto Amazónico de Investigaciones Científicas (SINCHI)","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH",1408
"Chimarrhis hookeri",6.61666,-74.58333,1990-03-02,"MO","HUA","HUA","HUA",NA,267
"Chimarrhis hookeri",-3.46666,-72.83333,1988-12-03,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-3.5,-73.03333,1987-02-12,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-4.133333,-72.916667,1981-05-29,"GBIF","CM","CM","CM","Botany",4306
"Chimarrhis hookeri",-3.46666,-72.83333,1983-07-14,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-3.5,-72.96666,1992-04-19,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-4.13333,-72.91666,1981-05-28,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-4.12194,-72.92361,1997-04-11,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",0.07,-72.45,1999-06-18,"GBIF","Instituto Amazónico de Investigaciones Científicas (SINCHI)","Instituto Amazónico de Investigaciones Científicas (SINCHI)","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH",1408
"Chimarrhis hookeri",-3.25,-72.9,1992-01-23,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.163761,-74.375627,NA,"GBIF","NHMUK","NHMUK","NHMUK","BOT",1748
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-6.49361,-76.36972,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405
"Chimarrhis hookeri",-10.3469,-75.2592,2008-04-10,"GBIF","US","US","US","Botany",4885
"Chimarrhis hookeri",-3.83333,-77.66666,1980-02-25,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-10.193611,-75.140555,2011-04-28,"GBIF","JBRJ","JBRJ","JBRJ","RB",3364
"Chimarrhis hookeri",-9.1839,-74.14,1855-01-01,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-4.46666,-78.16666,1973-05-30,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-12.81666,-69.3,1984-02-26,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-4.58027,-78.23361,1997-08-11,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,1855-01-01,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.1839,-74.14,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-12.8166667,-69.3,1984-02-19,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-3.83333,-77.66666,1979-12-03,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.1839,-74.14,1929-05-23,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-4.27667,-73.88028,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405
"Chimarrhis hookeri",-3.43333,-72.85,NA,"SALVIAS","Gentry Transect Dataset","James S. MIller",NA,NA,40
"Chimarrhis hookeri",-12.83,-69.3,NA,"SALVIAS","RAINFOR - 1 ha Peru","Oliver Phillips",NA,NA,4
"Chimarrhis hookeri",-12.83,-69.3,NA,"SALVIAS","RAINFOR - 1 ha Peru","Oliver Phillips",NA,NA,4
"Chimarrhis hookeri",-3.23333,-72.9,NA,"SALVIAS","RAINFOR - 1 ha Peru","Oliver Phillips",NA,NA,4
"Chimarrhis hookeri",-3.43333,-72.85,NA,"SALVIAS","RAINFOR - 1 ha Peru","Oliver Phillips",NA,NA,4
"Chimarrhis hookeri",-3.43333,-72.85,NA,"SALVIAS","RAINFOR - 1 ha Peru","Oliver Phillips",NA,NA,4
"Chimarrhis hookeri",-3.43333,-72.85,NA,"SALVIAS","RAINFOR - 1 ha Peru","Oliver Phillips",NA,NA,4
"Chimarrhis hookeri",-3.95,-73.4167,NA,"SALVIAS","Gentry Transect Dataset","James S. MIller",NA,NA,40
"Chimarrhis hookeri",-3.95,-73.4167,NA,"SALVIAS","Gentry Transect Dataset","James S. MIller",NA,NA,40
"Chimarrhis hookeri",-3.51667,-73.0667,NA,"SALVIAS","Gentry Transect Dataset","James S. MIller",NA,NA,40
"Chimarrhis hookeri",-12.8333,-69.2833,NA,"SALVIAS","Gentry Transect Dataset","James S. MIller",NA,NA,40
"Chimarrhis hookeri",-10.40999508,-75.32989584,2011-06-22,"TEAM","Yanachaga Chimillén National Park",NA,NA,NA,6
